district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
404,CHHATTISGARH,Korba,1206640,612915,593725,748759,521186,332653,4544,202380,126055,206598,18004,43357
405,CHHATTISGARH,Janjgir - Champa,1619707,815717,803990,1019634,846466,440773,1706,339090,61190,379583,10833,19129
406,CHHATTISGARH,Bilaspur,2663629,1351574,1312055,1596560,1203197,737806,8566,519704,188174,549632,30892,77727
407,CHHATTISGARH,Kabeerdham,822526,412058,410468,414167,404156,211179,682,150649,23868,187311,2962,6375
408,CHHATTISGARH,Rajnandgaon,1537133,762855,774278,1008379,800092,390132,2111,275501,76528,313604,11790,26486
409,CHHATTISGARH,Durg,3343872,1682101,1661771,2303378,1496805,883189,16141,614109,349741,533448,51289,129193
410,CHHATTISGARH,Raipur,4063872,2048186,2015686,2629749,1757664,1068500,20261,728556,395001,673499,59523,166505
411,CHHATTISGARH,Mahasamund,1032754,511967,520787,637963,499260,310567,961,212487,35774,274793,5614,13200
412,CHHATTISGARH,Dhamtari,799781,397897,401884,546833,402895,210481,1016,148926,41792,168689,4804,14568
413,CHHATTISGARH,Uttar Bastar Kanker,748941,373338,375603,456042,389359,194069,579,110208,24878,169191,4084,7736
414,CHHATTISGARH,Bastar,1413199,698487,714712,650863,726531,371319,1782,157646,54894,316425,9042,22075
415,CHHATTISGARH,Narayanpur,139820,70104,69716,56621,71089,33095,86,9316,6179,26916,589,1384
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,269496,191237,286595,137849,955,43608,31304,106545,3879,10406
417,CHHATTISGARH,Bijapur,255230,128663,126567,86919,134525,58391,117,12516,7942,50449,1462,1022
418,MADHYA PRADESH,Sheopur,687861,361784,326077,328025,277455,176522,273,74770,26376,150146,5393,11701
419,MADHYA PRADESH,Morena,1965970,1068417,897553,1179685,675993,414586,1781,131486,95288,319298,20172,45113
420,MADHYA PRADESH,Bhind,1703005,926843,776162,1094917,520768,359596,1166,107819,88385,271211,14368,32268
421,MADHYA PRADESH,Gwalior,2032036,1090327,941709,1357210,685311,444892,15779,306859,272172,172720,46454,165061
422,MADHYA PRADESH,Datia,786754,420157,366597,491445,321160,203854,616,97696,43401,160453,5251,17555
423,MADHYA PRADESH,Shivpuri,1726050,919795,806255,900846,759281,434618,1852,148128,66759,367859,15304,35706
424,MADHYA PRADESH,Tikamgarh,1445166,760355,684811,747940,655318,382992,1090,132725,60220,322772,10899,21489
425,MADHYA PRADESH,Chhatarpur,1762375,936121,826254,943033,751797,470917,1880,176056,95048,375869,15567,36506
426,MADHYA PRADESH,Panna,1016520,533480,483040,552559,431998,288923,653,76097,32179,256744,8501,13285
427,MADHYA PRADESH,Sagar,2378458,1256257,1122201,1545719,1006035,613915,4546,366494,165507,448408,24811,68482
428,MADHYA PRADESH,Damoh,1264219,661873,602346,747715,574595,369901,1432,187731,66514,303387,10504,23270
429,MADHYA PRADESH,Satna,2228935,1157495,1071440,1371781,911349,576004,3754,294702,114173,461831,22751,55196
430,MADHYA PRADESH,Rewa,2365106,1225100,1140006,1441757,991946,618399,3406,251132,94489,523910,31194,45180
431,MADHYA PRADESH,Umaria,644758,330674,314084,356672,289691,168066,839,67975,29966,138100,6360,12713
432,MADHYA PRADESH,Neemuch,826067,422653,403414,508834,418682,242197,1945,145258,67962,174235,8342,34666
433,MADHYA PRADESH,Mandsaur,1340411,682851,657560,834591,679723,384119,2324,239885,81832,302287,12507,47723
434,MADHYA PRADESH,Ratlam,1455069,738241,716828,825880,690980,373867,3644,213825,107151,266716,14905,67830
435,MADHYA PRADESH,Ujjain,1986864,1016289,970575,1240990,897442,489449,7501,323379,188684,300765,27733,123526
436,MADHYA PRADESH,Shajapur,1512681,780520,732161,894612,717871,386608,1382,232735,73997,312611,10797,32204
437,MADHYA PRADESH,Dewas,1563715,805359,758356,925369,742676,376009,3518,270457,101014,274995,16523,59521
438,MADHYA PRADESH,Dhar,2185793,1112725,1073068,1077338,1027974,515712,2388,349639,103364,412348,18626,75637
439,MADHYA PRADESH,Indore,3276697,1699627,1577070,2309130,1268195,788318,48691,593576,587947,200371,111478,417170
440,MADHYA PRADESH,Khargone (West Nimar),1873046,953121,919925,986234,894119,460163,2162,304291,76620,383543,14189,51538
441,MADHYA PRADESH,Barwani,1385881,699340,686541,549926,653897,299270,1158,181139,48912,250358,8516,30115
442,MADHYA PRADESH,Rajgarh,1545814,790212,755602,804245,745603,401717,1611,231130,69823,331894,12718,30688
443,MADHYA PRADESH,Vidisha,1458875,769568,689307,862918,550402,376409,1926,181510,83830,292579,12888,41617
444,MADHYA PRADESH,Bhopal,2371061,1236130,1134931,1660690,867457,700719,40788,452912,581826,118893,94729,281442
445,MADHYA PRADESH,Sehore,1311332,683743,627589,780362,586087,329647,1566,212138,59220,270427,11166,30868
446,MADHYA PRADESH,Raisen,1331597,700358,631239,820220,517838,325713,1141,194373,74441,251272,9931,34499
447,MADHYA PRADESH,Betul,1575362,799236,776126,939769,786980,406649,2109,230974,87704,318945,13755,45270
448,MADHYA PRADESH,Harda,570465,294838,275627,352550,230979,144559,986,95066,31845,112714,5376,22174
449,MADHYA PRADESH,Hoshangabad,1241350,648725,592625,810644,478082,315396,2871,198076,105746,209650,14456,61415
450,MADHYA PRADESH,Katni,1292042,662013,630029,790773,543874,349031,2179,172416,72880,276151,13094,38086
